Datum,Uhrzeit,Ort,Google Maps Link
11.09.2021,20.00h,Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Außengelände Proben- und Logistikzentrum WLT, Bahnhofstraße 126, 44575 Castrop-Rauxel"
09.10.2021,19.30h,Hamm Kurhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Hamm Kurhaus, Ostenallee 87, 59071 Hamm"
07.11.2021,19.00h,Boppard Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Boppard Stadthalle, Oberstraße 141 (Marktplatz), 56154 Boppard"
24.11.2021,19.30h,Witten Saalbau,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Saalbau, Bergerstraße 25, 58452 Witten"
26.01.2022,20.00h,Friedberg Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Friedberg Stadthalle, Am Seebach 2, 61169 Friedberg (Hessen)"
09.05.2022,20.00h,Rheda-Wiedenbrück Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheda-Wiedenbrück Stadthalle, Hauptstraße 120, 33378 Rheda-Wiedenbrück"
13.09.2021,19.30h,Recklinghausen Ruhrfestspielhaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Recklinghausen Ruhrfestspielhaus, Otto-Burmeister-Allee 1, 45657 Recklinghausen"
19.09.2021,18.00h,Solingen Theater und Konzerthaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Solingen Theater und Konzerthaus, Konrad-Adenauer-Straße 71, 42651 Solingen"
28.04.2022,19.30h,Herne Kulturzentrum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Herne Kulturzentrum, Willi-Pohlmann-Platz 1, 44623 Herne"
13.05.2022,19.30h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
08.10.2021,16.00h,Witten Saalbau,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Witten Saalbau, Bergerstraße 25, 58452 Witten"
28.10.2021,17.30h,Minden Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Minden Stadttheater, Tonhallenstraße 3, 32423 Minden"
09.11.2021,9.00h,Sögel Aula des Hümmling Gymnasiums,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Sögel Aula des Hümmling Gymnasiums, Schlaunallee 10, 49751 Sögel"
10.11.2021,9.00h,Sögel Aula des Hümmling Gymnasiums,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Sögel Aula des Hümmling Gymnasiums, Schlaunallee 10, 49751 Sögel"
